node_id,group,region,x,y,theta,x3d,y3d,z3d
19,H,hypostome,24.127971695539888,57.29703400813922,1.9117579213922458,-1.5966112851879404,4.499788742100735,57.29703400813922
20,H,hypostome,15.234979436842156,57.10309704114587,0.04921397816853279,4.768867323260653,0.23488459434958786,57.10309704114587
21,H,hypostome,23.331605912780866,57.412148423700486,1.7449674618798436,-0.8274077436601777,4.702410312303381,57.412148423700486
22,B1,column,24.21736546071528,8.467362420231721,1.930480507789028,-1.6805742207148695,4.469109151519418,8.467362420231721
23,B1,column,18.397720925339538,9.66334400604037,0.7116170065330003,3.6158739326227884,3.1181279676923155,9.66334400604037
24,B1,column,16.67266258737139,10.227369128765778,0.3503216330946972,4.484647504690007,1.6386589267458007,10.227369128765778
25,B1,column,12.030908067118084,11.71533004072548,-0.621845160278303,3.8808578566288605,-2.7814040727963363,11.71533004072548
26,B1,column,12.862926771771116,12.797554319517936,-0.44758757026581897,4.304315856521464,-2.0664296084851026,12.797554319517936
27,B1,column,8.747741104364277,14.213207127704068,-1.3094700409913749,1.233587847981264,-4.612540226473798,14.213207127704068
28,B1,column,3.913374880589738,14.895000271110353,-2.3219773352162227,-3.2587089913942684,-3.4897108804214927,14.895000271110353
29,B1,column,24.029251394622506,16.20426948824893,1.8910819899174305,-1.5032393313533392,4.531836033242858,16.20426948824893
30,B1,column,14.225525203538307,16.861822661621503,-0.16220562206363365,4.711973807931503,-0.7710831037530879,16.861822661621503
31,B1,column,16.143244781129646,18.247918405240704,0.23944062704345104,4.638431336050446,1.1323520036946455,18.247918405240704
32,B1,column,10.731919434725402,19.303914633420995,-0.89390470325307,2.9907107821414955,-3.721950474832867,19.303914633420995
33,B1,column,21.03179807651827,20.268988285239686,1.2632968350084557,1.4451732004635454,4.550685743949801,20.268988285239686
34,B1,column,3.6047248992422487,21.938800930284945,-2.386620836145016,-3.47733269260906,-3.2719143730296834,21.938800930284945
35,B1,column,11.932446541564895,22.682068117435595,-0.6424668939675793,3.822679398122529,-2.86083703462738,22.682068117435595
36,B1,column,3.728407065218679,24.29573796649517,-2.360716903877574,-3.391420118951131,-3.360883201823518,24.29573796649517
37,B1,column,5.949410452920224,25.07943917597506,-1.895551042117493,-1.5234772640867793,-4.525072744756339,25.07943917597506
38,B1,column,26.211557649536825,26.202349817319636,2.3481431431388895,-3.348894203900077,3.4032593099278334,26.202349817319636
39,B1,column,18.786257520924345,27.34027610222117,0.792991920822335,3.35045114939971,3.401726534425153,27.34027610222117
40,B1,column,13.277285913347551,28.482833589418124,-0.36080439459086566,4.467223745726585,-1.6855795220465095,28.482833589418124
41,B1,column,15.569762589851528,29.151533730973224,0.11933079777119016,4.740693501831324,0.5684113310097337,29.151533730973224
