 ,Mean(CBpeduncle),Mean(RP1column),Mean(stimu)
485,21.410,40.363,48.667
486,21.200,40.715,48.708
487,21.509,40.380,48.792
488,21.089,40.332,48.375
489,21.129,40.434,48.458
490,21.189,40.483,48.375
491,21.087,40.283,48.208
492,20.804,40.493,48.458
493,20.865,40.763,48.375
494,20.835,40.463,48.667
495,20.807,40.412,48.667
496,20.660,40.276,48.250
497,20.358,40.356,48.583
498,20.423,40.222,49.833
499,20.455,40.202,54.208
500,20.112,40.263,60.333
501,20.104,40.034,65.542
502,20.238,40.268,70.708
503,20.187,40.017,77.583
504,20.108,40.393,82.958
505,20.078,39.961,86.375
506,20.100,40.056,89.667
507,20.247,39.915,93.292
508,20.575,39.893,94.042
509,20.461,40.266,94.083
510,20.657,40.166,94.667
511,20.367,40.210,94.750
512,20.359,40.056,94.708
513,20.248,40.463,94.500
514,20.090,40.193,95.000
515,20.074,39.912,95.167
516,19.972,39.866,95.083
517,20.164,40.039,94.750
518,19.929,40.139,95.250
519,19.811,39.849,95.000
520,19.658,40.134,95.000
521,20.007,40.073,95.083
522,19.917,39.883,95.083
523,19.793,40.161,94.792
524,19.698,40.049,94.792
525,19.693,39.966,94.875
526,19.755,39.885,94.750
527,19.505,39.841,94.875
528,19.636,39.707,95.000
529,19.657,40.054,94.958
530,19.471,39.644,95.042
531,19.602,39.741,95.042
532,19.736,39.649,95.042
533,19.673,39.734,95.042
534,19.468,39.805,95.042
535,19.640,39.873,95.125
536,19.693,39.968,95.000
537,19.648,39.739,95.000
538,19.575,39.632,94.917
539,19.524,39.620,95.000
540,19.497,39.502,95.000
541,19.766,39.895,95.000
542,19.392,39.715,95.000
543,19.461,39.620,95.000
544,19.636,39.624,95.000
545,19.483,39.788,95.000
546,19.433,39.478,95.000
547,19.353,39.468,95.042
548,19.410,39.559,94.625
549,19.445,39.605,95.000
550,19.428,39.410,95.125
551,19.337,39.622,95.000
552,19.518,39.512,95.000
553,19.506,39.656,94.792
554,19.539,39.656,94.875
555,19.270,39.595,94.875
556,19.495,39.673,94.875
557,19.356,39.680,94.833
558,19.422,39.637,94.875
559,19.502,39.656,94.875
560,19.444,39.629,94.917
561,19.308,39.615,94.875
562,19.651,39.629,94.875
563,19.431,39.583,94.833
564,19.540,39.441,94.875
565,19.312,39.734,94.667
566,19.461,39.502,94.667
567,19.487,39.780,94.667
568,19.195,39.712,94.792
569,19.263,39.490,94.792
570,19.407,39.759,94.875
571,19.449,39.707,94.917
572,19.363,39.644,94.958
573,19.437,39.776,94.875
574,19.212,39.693,94.958
575,19.350,39.773,94.917
576,19.306,39.761,94.792
577,19.466,39.851,94.833
578,19.357,39.915,94.833
579,19.365,39.868,94.833
580,19.324,39.573,94.792
581,24.238,40.061,94.917
582,26.544,40.380,94.917
583,26.423,40.573,94.917
584,26.503,40.420,94.958
585,26.309,40.554,94.875
586,26.038,40.488,94.917
587,25.448,40.224,94.917
588,24.884,40.234,94.917
589,24.618,40.300,94.875
590,24.207,40.317,94.792
591,23.931,40.559,94.917
592,23.762,40.090,94.750
593,23.353,40.007,94.792
594,23.312,39.895,94.792
595,23.117,39.990,94.917
596,23.004,39.666,94.833
597,22.958,39.910,94.833
598,22.591,39.727,94.875
599,22.379,39.910,94.625
600,22.398,39.712,94.625
601,22.305,39.654,94.583
602,22.315,39.783,94.625
603,21.924,39.754,94.625
604,21.845,39.822,94.625
605,21.877,39.651,94.625
606,21.626,39.632,94.625
607,21.570,39.668,94.625
608,21.306,39.717,94.667
609,21.460,39.773,94.958
610,25.333,39.954,94.833
611,26.837,40.134,94.917
612,26.906,40.400,94.917
613,26.891,40.346,95.000
614,26.765,40.583,95.000
615,26.292,40.563,94.583
616,25.822,40.429,95.167
617,25.760,40.490,94.875
618,25.049,40.229,94.583
619,24.857,40.461,94.833
620,24.622,40.366,94.708
621,24.383,40.368,94.792
622,23.896,40.700,95.083
623,23.981,40.412,95.000
624,23.831,40.215,94.958
625,23.440,40.156,95.000
626,23.336,40.420,95.000
627,23.273,40.071,95.042
628,23.103,40.251,95.000
629,23.060,40.361,95.042
630,22.717,40.166,94.958
631,22.518,40.139,95.000
632,22.449,40.029,95.000
633,22.504,40.176,95.000
634,22.354,40.124,95.000
635,26.454,40.368,94.875
636,27.605,40.420,95.042
637,27.668,40.371,94.958
638,27.479,40.537,94.875
639,27.419,40.634,94.833
640,26.853,40.454,94.625
641,26.447,40.459,94.917
642,26.105,40.222,92.625
643,25.712,40.359,86.583
644,25.327,40.315,80.458
645,25.082,40.322,75.750
646,24.804,40.300,70.417
647,24.519,40.488,64.167
648,24.366,40.217,58.792
649,23.996,40.227,56.250
650,23.825,40.254,52.250
651,23.826,40.541,49.583
652,23.734,40.307,48.417
653,23.386,40.029,49.208
654,26.974,40.598,48.500
655,27.413,40.420,48.417
656,27.151,40.583,48.708
657,26.725,40.434,49.042
658,26.642,40.556,49.250
659,26.336,40.710,48.875
660,25.881,40.588,48.583
661,25.485,40.622,48.958
662,25.176,40.668,49.000
663,25.097,40.573,48.542
664,24.771,40.554,49.167
665,24.448,40.554,48.833
666,24.248,40.412,48.750
667,24.170,40.488,49.125
668,26.518,40.612,48.292
669,27.348,41.049,48.583
670,27.367,40.832,48.708
671,27.106,40.846,48.708
672,26.671,40.763,48.625
673,26.356,40.890,48.542
674,26.087,41.049,48.792
675,25.922,40.793,48.792
676,25.558,40.790,48.667
677,25.326,40.707,48.583
678,25.115,40.773,48.667
679,25.026,40.802,48.708
680,26.492,41.037,48.250
681,27.490,41.059,48.708
682,27.442,41.020,48.750
683,27.054,41.320,48.625
684,26.661,41.105,48.708
685,26.298,40.980,48.625
686,26.004,40.976,48.417
687,25.694,41.005,48.500
688,25.405,40.861,48.667
689,25.127,40.724,48.750
690,24.927,40.746,48.750
691,24.804,40.880,48.667
692,24.576,40.827,48.917
693,24.809,40.912,48.583
694,24.818,40.915,48.917
695,27.015,41.088,48.792
696,26.964,40.939,48.542
697,26.813,41.200,48.583
698,26.510,40.990,48.875
699,26.023,40.646,48.750
700,26.172,41.078,48.542
701,25.932,41.115,48.708
702,25.503,41.154,48.708
703,25.320,41.068,48.458
704,24.995,40.861,48.625
705,24.775,41.100,48.958
706,24.741,40.861,48.833
707,24.213,40.778,48.917
708,24.192,40.968,48.583
709,24.161,40.912,48.542
710,24.167,40.524,48.667
711,23.870,40.844,48.583
712,23.814,40.751,48.917
713,23.773,40.729,48.625
714,23.472,40.780,48.292
715,23.583,40.832,48.667
716,25.660,40.961,48.667
717,26.297,41.020,48.667
718,26.174,41.317,48.583
719,25.929,40.976,48.792
720,25.719,40.966,49.042
721,25.242,40.902,49.000
722,24.972,40.963,48.917
723,24.616,41.020,48.917
724,24.238,40.641,48.542
725,23.809,40.878,48.667
726,23.623,40.732,48.667
727,23.399,40.846,48.542
728,23.195,40.902,48.708
729,22.856,40.773,48.458
730,22.843,40.502,48.292
731,22.385,40.722,48.792
732,22.371,40.729,48.833
733,22.285,40.537,48.875
734,22.015,40.549,48.917
735,22.064,40.939,48.125
736,21.818,40.715,48.917
737,21.598,40.627,48.958
738,21.704,40.483,48.583
739,21.642,40.624,48.833
740,21.478,40.620,48.833
741,21.351,40.641,48.458
742,21.221,40.702,48.542
743,21.124,40.622,48.417
744,21.165,40.602,48.375
745,21.043,40.529,48.417
746,20.956,40.590,48.708
747,20.977,40.568,48.833
748,20.656,40.502,48.792
749,20.703,40.615,48.625
750,20.333,40.466,48.875
751,20.360,40.500,48.667
752,20.408,40.429,48.708
753,20.291,40.478,48.458
754,20.308,40.371,48.792
755,20.283,40.522,48.875
756,20.139,40.641,48.542
757,19.959,40.554,49.000
758,19.994,40.339,48.542
759,19.985,40.678,48.667
760,19.720,40.498,48.583
761,19.858,40.212,49.083
762,20.042,40.576,49.083
763,19.647,40.290,48.667
764,19.677,40.302,48.958
765,19.817,40.556,49.125
766,19.571,40.261,48.958
767,19.614,40.527,49.042
768,19.351,40.341,49.125
769,19.644,40.315,48.875
770,19.593,40.412,48.917
771,19.496,40.351,49.125
772,19.267,40.434,48.958
773,19.434,40.461,49.250
774,19.264,40.356,48.917
775,19.345,40.320,48.833
776,19.171,40.495,48.917
777,19.366,40.434,48.708
778,19.217,40.229,48.542
779,19.133,40.400,49.125
780,18.918,40.251,48.958
781,19.098,40.356,48.542
782,19.318,40.488,48.667
783,19.107,40.417,48.708
784,19.333,40.549,48.458
785,19.201,40.251,48.667
786,19.165,40.424,48.792
787,19.131,40.276,48.667
788,19.165,40.251,48.667
789,19.189,40.083,48.792
790,19.196,40.390,48.667
791,18.837,40.239,48.917
792,19.091,40.295,48.917
793,19.030,40.280,49.042
794,18.978,40.312,49.167
795,18.882,40.156,48.792
796,19.002,40.232,48.917
797,18.866,40.295,48.792
798,18.962,40.063,48.958
799,18.665,40.315,48.792
800,18.736,40.237,48.917
801,18.831,40.332,49.042
802,18.869,40.366,48.958
803,18.843,40.349,48.708
804,19.079,40.976,48.417
805,19.048,41.022,48.500
806,18.882,41.102,48.375
807,19.242,41.059,48.667
808,19.123,40.888,48.708
809,19.036,41.115,48.583
810,18.852,40.624,48.583
811,18.918,40.751,48.625
812,18.969,40.651,48.875
813,19.157,40.741,48.625
814,18.651,40.690,48.625
815,18.852,40.585,48.667
816,18.935,40.724,48.625
817,19.030,40.690,49.167
818,18.742,40.151,48.833
819,18.873,40.629,48.750
820,18.880,40.617,48.875
821,18.917,40.524,48.542
822,18.649,40.278,48.875
823,18.748,40.522,48.917
824,18.786,40.493,48.333
825,18.693,40.412,48.958
826,18.799,40.541,48.708
827,18.708,40.446,48.750
828,18.908,40.368,48.500
829,18.619,40.617,49.042
830,18.851,40.510,48.833
831,18.798,40.563,49.083
832,18.825,40.451,48.875
833,18.818,40.254,49.125
834,18.699,40.480,48.833
835,18.636,40.507,49.083
836,18.780,40.568,49.000
837,18.608,40.324,48.375
838,18.757,40.663,48.625
839,18.786,40.449,48.417
840,18.768,40.432,49.000
841,18.461,40.546,48.708
842,18.532,40.512,48.792
843,18.552,40.483,48.833
844,18.639,40.434,49.042
845,18.374,40.210,48.667
846,18.647,40.544,49.125
847,18.353,40.539,48.833
848,18.595,40.427,48.917
849,18.448,40.429,48.792
850,18.515,40.244,49.000
851,18.476,40.354,48.875
852,18.586,40.327,48.792
853,18.626,40.605,48.708
854,18.598,40.690,48.792
855,18.579,40.522,48.583
856,18.398,40.278,48.500
857,18.582,40.273,48.500
858,18.491,40.415,48.792
859,18.470,40.617,48.583
860,18.428,40.515,48.625
861,18.404,40.500,48.875
862,18.653,40.539,50.167
863,18.424,40.417,56.833
864,18.336,40.510,63.292
865,18.329,40.361,67.083
866,18.432,40.383,72.167
867,18.583,40.480,80.667
868,18.286,40.224,84.000
869,18.277,40.154,86.542
870,18.322,40.366,91.458
871,18.364,40.500,94.333
872,18.232,40.346,94.500
873,18.248,40.341,94.375
874,18.376,40.488,94.708
875,18.280,40.534,94.792
876,18.596,40.415,94.833
877,18.605,40.505,94.833
878,18.516,40.398,94.792
879,18.421,40.663,94.792
880,18.572,40.680,94.792
881,18.320,40.451,94.792
882,18.423,40.459,94.875
883,18.356,40.444,94.875
884,18.459,40.488,94.875
885,18.422,40.388,94.917
886,18.322,40.510,95.042
887,18.394,40.598,94.792
888,18.428,40.715,94.667
889,18.485,40.668,94.833
890,18.578,40.707,94.750
891,18.546,40.944,94.833
892,18.277,40.700,95.000
893,18.186,40.768,95.000
894,18.355,40.863,95.000
895,18.321,40.780,94.792
896,18.340,40.607,94.667
897,18.572,40.788,94.750
898,18.203,40.839,94.833
899,18.405,41.039,95.250
900,18.351,40.673,95.250
901,18.363,40.629,95.250
902,18.314,40.717,95.250
903,18.545,40.722,95.208
904,18.262,40.729,95.208
905,18.387,40.741,94.958
906,18.266,40.634,94.917
907,18.251,40.827,94.958
908,18.184,40.885,94.958
909,18.120,40.488,94.958
910,18.033,40.585,94.958
911,18.160,40.788,94.833
912,18.059,40.695,94.958
913,18.197,40.749,94.958
914,18.078,40.805,94.958
915,18.104,40.683,94.958
916,18.134,40.737,95.042
917,17.928,40.849,94.958
918,18.069,40.832,94.958
919,18.139,40.568,95.083
920,23.201,40.895,94.750
921,25.474,41.341,94.792
922,25.665,40.924,94.792
923,25.270,41.173,94.792
924,24.902,40.890,94.792
925,24.403,40.773,94.792
926,24.096,40.610,94.625
927,23.756,40.685,94.625
928,23.382,40.644,94.625
929,23.107,40.544,94.458
930,22.599,40.468,94.875
931,22.366,40.590,94.458
932,21.902,40.359,94.750
933,21.713,40.563,94.625
934,21.569,40.473,94.917
935,21.022,40.312,94.750
936,21.292,40.349,94.917
937,20.781,40.178,94.875
938,20.579,40.290,94.917
939,20.432,40.212,94.625
940,20.345,40.217,94.833
941,19.977,40.124,94.625
942,19.951,40.044,94.792
943,19.839,40.517,94.875
944,19.820,40.083,94.625
945,19.641,40.122,94.667
946,19.628,40.098,94.667
947,19.595,40.051,94.667
948,19.391,40.037,94.667
949,19.382,40.183,94.833
950,19.314,40.059,94.875
951,19.199,40.149,94.875
952,18.988,40.110,94.625
953,19.111,40.356,94.875
954,18.935,40.393,94.875
955,18.939,40.327,94.875
956,18.830,40.246,94.750
957,18.660,39.993,94.917
958,22.364,40.288,94.833
959,24.633,40.290,94.917
960,24.655,40.273,94.750
961,24.529,40.366,94.833
