 ,Mean(RP1column),Mean(CBpeduncle),Mean(stimu)
362,34.878,30.317,64.833
363,34.944,30.493,64.833
364,35.118,32.011,64.833
365,35.043,31.025,64.833
366,34.819,30.304,64.500
367,35.017,31.176,64.500
368,34.944,31.834,64.500
369,34.888,31.215,64.167
370,34.909,30.481,64.167
371,34.994,31.776,64.167
372,35.077,31.891,64.167
373,34.835,31.095,64.167
374,34.782,30.260,64.167
375,34.701,29.509,64.167
376,34.620,28.822,64.167
377,34.830,31.648,64.167
378,34.896,31.192,64.167
379,34.844,30.386,64.167
380,34.630,29.625,64.167
381,34.806,30.876,64.167
382,34.870,31.595,64.167
383,34.724,30.910,64.167
384,34.992,32.270,64.167
385,34.971,31.869,64.167
386,34.953,30.932,64.250
387,35.127,32.426,64.250
388,34.997,31.591,64.250
389,34.761,30.642,64.250
390,34.849,31.178,64.250
391,34.888,31.940,64.250
392,34.649,30.898,64.667
393,34.647,30.377,64.667
394,34.546,29.503,64.667
395,34.799,31.656,64.667
396,34.706,31.043,64.667
397,34.627,30.262,64.667
398,34.551,29.926,64.667
399,34.734,31.633,64.667
400,34.547,30.799,64.667
401,34.381,29.891,64.667
402,34.341,29.313,64.750
403,34.221,28.569,64.667
404,34.115,28.048,64.667
405,34.134,27.651,64.750
406,34.073,27.510,64.667
407,34.387,28.206,64.583
408,34.607,31.117,64.500
409,34.610,30.707,64.667
410,34.436,29.745,64.667
411,34.650,31.324,64.667
412,34.541,31.657,64.667
413,34.629,30.734,64.750
414,34.851,31.798,64.667
415,34.878,31.905,64.833
416,34.708,30.944,64.833
417,34.956,32.166,64.833
418,34.790,31.600,64.833
419,34.775,31.224,64.833
420,34.837,31.932,64.833
421,34.747,31.365,64.833
422,34.765,31.566,64.833
423,34.717,31.851,60.167
424,34.709,30.958,54.917
425,34.569,30.129,50.000
426,34.801,31.736,46.833
427,34.540,31.062,43.833
428,34.573,30.142,38.833
429,34.735,31.751,36.667
430,34.751,31.273,35.833
431,34.486,30.379,35.833
432,34.441,29.539,35.750
433,34.606,30.709,36.083
434,34.698,31.353,36.000
435,34.444,30.395,35.667
436,34.377,29.556,35.333
437,34.226,28.845,36.000
438,34.611,31.362,35.833
439,34.536,30.840,35.833
440,34.596,29.878,35.583
441,34.629,29.040,36.000
442,34.379,28.435,35.833
443,34.347,27.904,35.833
444,34.622,27.695,35.667
445,35.392,31.724,35.583
446,35.940,32.209,35.583
447,36.171,32.150,35.583
448,36.598,33.735,35.750
449,36.759,33.863,35.417
450,36.842,33.351,35.750
451,37.002,32.843,35.417
452,37.080,32.591,35.583
453,37.157,32.019,35.417
454,37.157,31.491,35.167
455,37.349,31.081,35.667
456,37.315,30.872,35.833
457,37.363,30.512,35.417
458,37.348,30.191,35.667
459,37.535,29.917,35.500
460,37.554,29.563,36.000
461,37.595,29.365,36.167
462,37.646,29.117,36.333
463,37.744,29.030,36.333
464,37.765,28.946,36.333
465,37.708,28.651,36.167
466,37.814,28.461,36.333
467,37.734,28.445,35.667
468,37.777,28.282,36.333
469,37.776,28.120,36.250
470,37.723,27.986,36.000
471,37.712,27.874,35.417
472,37.639,27.745,36.000
